unix_ms,memory_current,file,anon,sock,slab,kernel
1785860891438,3473408,0,2719744,0,357176,753664
1785860892440,3473408,0,2719744,0,357176,753664
1785860893442,3473408,0,2719744,0,357176,753664
1785860894442,3473408,0,2719744,0,357176,753664
1785860895442,3473408,0,2719744,0,357176,753664
1785860896440,3473408,0,2719744,0,357176,753664
1785860897440,3473408,0,2719744,0,357176,753664
1785860898441,3473408,0,2719744,0,357176,753664
1785860899440,3473408,0,2719744,0,357176,753664
1785860900440,3473408,0,2719744,0,357176,753664
