unix_ms,memory_current,file,anon,sock,slab,kernel
1785883065228,3608576,0,2846720,0,357384,761856
1785883066231,3608576,0,2846720,0,357384,761856
1785883067231,3608576,0,2846720,0,357384,761856
1785883068230,3608576,0,2846720,0,357384,761856
1785883069231,3608576,0,2846720,0,357384,761856
1785883070232,3608576,0,2846720,0,357384,761856
1785883071231,3608576,0,2846720,0,357384,761856
1785883072230,3608576,0,2846720,0,357384,761856
1785883073231,3608576,0,2846720,0,357384,761856
1785883074231,3608576,0,2846720,0,357384,761856
