unix_ms,memory_current,file,anon,sock,slab,kernel
1785909341916,3723264,0,2957312,0,357480,765952
1785909342918,3723264,0,2957312,0,357480,765952
1785909343918,3723264,0,2957312,0,357480,765952
1785909344918,3723264,0,2957312,0,357480,765952
1785909345919,3723264,0,2957312,0,357480,765952
1785909346918,3723264,0,2957312,0,357480,765952
1785909347919,3723264,0,2957312,0,357480,765952
1785909348918,3723264,0,2957312,0,357480,765952
1785909349917,3723264,0,2957312,0,357480,765952
1785909350918,3723264,0,2957312,0,357480,765952
