unix_ms,memory_current,file,anon,sock,slab,kernel
1785885896606,71819264,606208,68734976,0,1926312,2473984
1785885897610,71819264,606208,68734976,0,1926312,2473984
1785885898610,71819264,606208,68739072,0,1926312,2473984
1785885899609,71819264,606208,68739072,0,1926312,2473984
1785885900609,71819264,606208,68739072,0,1926312,2473984
1785885901609,71819264,606208,68739072,0,1926312,2473984
1785885902610,71819264,606208,68739072,0,1926312,2473984
1785885903610,71819264,606208,68739072,0,1926312,2473984
1785885904610,71819264,606208,68739072,0,1926312,2473984
1785885905610,71819264,606208,68739072,0,1926312,2473984
1785885906611,71819264,606208,68739072,0,1926312,2473984
1785885907610,71819264,606208,68739072,0,1926312,2473984
1785885908610,71819264,606208,68739072,0,1926312,2473984
1785885909610,71819264,606208,68739072,0,1926312,2473984
1785885910610,71819264,606208,68739072,0,1926312,2473984
1785885911609,71819264,606208,68739072,0,1926312,2473984
1785885912609,71819264,606208,68739072,0,1926312,2473984
1785885913610,71819264,606208,68739072,0,1926312,2473984
1785885914609,71819264,606208,68739072,0,1926312,2473984
1785885915609,71819264,606208,68739072,0,1926312,2473984
1785885916609,71921664,606208,68739072,0,1926312,2473984
1785885917609,71827456,606208,68747264,0,1926312,2473984
1785885918610,71827456,606208,68747264,0,1926312,2473984
1785885919610,71827456,606208,68747264,0,1926312,2473984
1785885920608,71827456,606208,68747264,0,1926312,2473984
1785885921609,71827456,606208,68747264,0,1926312,2473984
1785885922609,71827456,606208,68747264,0,1926312,2473984
1785885923609,71827456,606208,68747264,0,1926312,2473984
1785885924610,71827456,606208,68747264,0,1926312,2473984
1785885925609,71827456,606208,68747264,0,1926312,2473984
1785885926610,71827456,606208,68747264,0,1926312,2473984
1785885927609,71827456,606208,68747264,0,1926312,2473984
1785885928609,71827456,606208,68747264,0,1926312,2473984
1785885929610,71827456,606208,68747264,0,1926312,2473984
1785885930611,71827456,606208,68747264,0,1926312,2473984
1785885931609,71827456,606208,68747264,0,1926312,2473984
1785885932610,71827456,606208,68747264,0,1926312,2473984
1785885933609,71827456,606208,68747264,0,1926312,2473984
1785885934609,71827456,606208,68747264,0,1926312,2473984
1785885935609,71827456,606208,68747264,0,1926312,2473984
1785885936609,71942144,606208,68747264,0,1926312,2473984
1785885937611,71843840,606208,68763648,0,1926312,2473984
1785885938609,71843840,606208,68763648,0,1926312,2473984
1785885939609,71843840,606208,68763648,0,1926312,2473984
1785885940609,71843840,606208,68763648,0,1926312,2473984
1785885941609,71843840,606208,68763648,0,1926312,2473984
1785885942609,71843840,606208,68763648,0,1926312,2473984
1785885943610,71843840,606208,68763648,0,1926312,2473984
1785885944609,71843840,606208,68763648,0,1926312,2473984
1785885945609,71843840,606208,68763648,0,1926312,2473984
1785885946610,71843840,606208,68763648,0,1926312,2473984
1785885947609,71843840,606208,68763648,0,1926312,2473984
1785885948609,71843840,606208,68763648,0,1926312,2473984
1785885949610,71843840,606208,68763648,0,1926312,2473984
1785885950610,71843840,606208,68763648,0,1926312,2473984
1785885951610,71843840,606208,68763648,0,1926312,2473984
1785885952609,71843840,606208,68763648,0,1926312,2473984
1785885953610,71843840,606208,68763648,0,1926312,2473984
1785885954609,71843840,606208,68763648,0,1926312,2473984
1785885955610,71843840,606208,68763648,0,1926312,2473984
