unix_ms,memory_current,file,anon,sock,slab,kernel
1785907728482,37998592,0,35561472,0,1923584,2437120
1785907729484,37998592,0,35561472,0,1923584,2437120
1785907730485,37998592,0,35561472,0,1923584,2437120
1785907731484,37998592,0,35561472,0,1923584,2437120
1785907732486,37998592,0,35561472,0,1923584,2437120
1785907733484,37998592,0,35561472,0,1923584,2437120
1785907734485,37998592,0,35561472,0,1923584,2437120
1785907735484,37998592,0,35561472,0,1923584,2437120
1785907736484,37998592,0,35561472,0,1923584,2437120
1785907737483,37998592,0,35561472,0,1923584,2437120
