unix_ms,memory_current,file,anon,sock,slab,kernel
1785907663460,51122176,0,48685056,0,1923584,2428928
1785907664462,51113984,0,48685056,0,1923584,2428928
1785907665463,51113984,0,48685056,0,1923584,2428928
1785907666462,51113984,0,48685056,0,1923584,2428928
1785907667462,51113984,0,48685056,0,1923584,2428928
1785907668463,51113984,0,48685056,0,1923584,2428928
1785907669461,51113984,0,48685056,0,1923584,2428928
1785907670463,51113984,0,48685056,0,1923584,2428928
1785907671463,51113984,0,48685056,0,1923584,2428928
1785907672463,51113984,0,48685056,0,1923584,2428928
1785907673463,51113984,0,48685056,0,1923584,2428928
1785907674462,51113984,0,48685056,0,1923584,2428928
1785907675462,51113984,0,48685056,0,1923584,2428928
1785907676462,51113984,0,48685056,0,1923584,2428928
1785907677463,51113984,0,48685056,0,1923584,2428928
1785907678462,51113984,0,48685056,0,1923584,2428928
1785907679463,51113984,0,48685056,0,1923584,2428928
1785907680463,51113984,0,48685056,0,1923584,2428928
1785907681463,51113984,0,48685056,0,1923584,2428928
1785907682462,51113984,0,48685056,0,1923584,2428928
1785907683462,51142656,0,48685056,0,1923584,2428928
1785907684463,51118080,0,48685056,0,1923584,2428928
1785907685463,51118080,0,48689152,0,1923584,2428928
1785907686462,51118080,0,48689152,0,1923584,2428928
1785907687462,51118080,0,48689152,0,1923584,2428928
1785907688463,51118080,0,48689152,0,1923584,2428928
1785907689462,51118080,0,48689152,0,1923584,2428928
1785907690462,51118080,0,48689152,0,1923584,2428928
1785907691462,51118080,0,48689152,0,1923584,2428928
1785907692463,51118080,0,48689152,0,1923584,2428928
1785907693462,51118080,0,48689152,0,1923584,2428928
1785907694463,51118080,0,48689152,0,1923584,2428928
1785907695462,51118080,0,48689152,0,1923584,2428928
1785907696463,51118080,0,48689152,0,1923584,2428928
1785907697463,51118080,0,48689152,0,1923584,2428928
1785907698462,51118080,0,48689152,0,1923584,2428928
1785907699463,51118080,0,48689152,0,1923584,2428928
1785907700462,51118080,0,48689152,0,1923584,2428928
1785907701462,51118080,0,48689152,0,1923584,2428928
1785907702462,51118080,0,48689152,0,1923584,2428928
1785907703462,51150848,0,48689152,0,1923848,2433024
1785907704462,51118080,0,48689152,0,1923848,2433024
1785907705463,51118080,0,48689152,0,1923584,2428928
1785907706462,51118080,0,48689152,0,1923584,2428928
1785907707462,51118080,0,48689152,0,1923584,2428928
1785907708461,51118080,0,48689152,0,1923584,2428928
1785907709462,51118080,0,48689152,0,1923584,2428928
1785907710463,51118080,0,48689152,0,1923584,2428928
1785907711463,51118080,0,48689152,0,1923584,2428928
1785907712462,51118080,0,48689152,0,1923584,2428928
1785907713462,51118080,0,48689152,0,1923584,2428928
1785907714463,51118080,0,48689152,0,1923584,2428928
1785907715462,51118080,0,48689152,0,1923584,2428928
1785907716462,51118080,0,48689152,0,1923584,2428928
1785907717462,51118080,0,48689152,0,1923584,2428928
1785907718462,51118080,0,48689152,0,1923584,2428928
1785907719463,51118080,0,48689152,0,1923584,2428928
1785907720462,51118080,0,48689152,0,1923584,2428928
1785907721463,51118080,0,48689152,0,1923584,2428928
1785907722463,51118080,0,48689152,0,1923584,2428928
