unix_ms,memory_current,file,anon,sock,slab,kernel
1785881713320,3633152,0,2932736,0,343192,700416
1785881714322,3633152,0,2932736,0,343192,700416
1785881715323,3633152,0,2932736,0,343192,700416
1785881716322,3633152,0,2932736,0,343192,700416
1785881717322,3633152,0,2932736,0,343192,700416
1785881718323,3633152,0,2932736,0,343192,700416
1785881719328,3633152,0,2932736,0,343192,700416
1785881720323,3633152,0,2932736,0,343192,700416
1785881721323,3633152,0,2932736,0,343192,700416
1785881722322,3633152,0,2932736,0,343192,700416
1785881723323,3633152,0,2932736,0,343192,700416
1785881724323,3633152,0,2932736,0,343192,700416
1785881725322,3633152,0,2932736,0,343192,700416
1785881726322,3633152,0,2932736,0,343192,700416
1785881727324,3633152,0,2932736,0,343192,700416
1785881728322,3633152,0,2932736,0,343192,700416
1785881729324,3633152,0,2932736,0,343192,700416
1785881730323,3633152,0,2932736,0,343192,700416
1785881731323,3633152,0,2932736,0,343192,700416
1785881732322,3633152,0,2932736,0,343192,700416
1785881733322,3633152,0,2932736,0,343192,700416
1785881734323,3633152,0,2932736,0,343192,700416
1785881735323,3633152,0,2932736,0,343192,700416
1785881736322,3633152,0,2932736,0,343192,700416
1785881737323,3633152,0,2932736,0,343192,700416
1785881738323,3633152,0,2932736,0,343192,700416
1785881739322,3633152,0,2932736,0,343192,700416
1785881740322,3633152,0,2932736,0,343192,700416
1785881741322,3633152,0,2932736,0,343192,700416
1785881742323,3641344,0,2932736,0,343192,700416
1785881743322,3641344,0,2940928,0,343192,700416
1785881744324,3641344,0,2940928,0,343192,700416
1785881745322,3641344,0,2940928,0,343192,700416
1785881746324,3641344,0,2940928,0,343192,700416
1785881747323,3641344,0,2940928,0,343192,700416
1785881748322,3641344,0,2940928,0,343192,700416
1785881749323,3641344,0,2940928,0,343192,700416
1785881750323,3641344,0,2940928,0,343192,700416
1785881751323,3641344,0,2940928,0,343192,700416
1785881752322,3641344,0,2940928,0,343192,700416
1785881753322,3641344,0,2940928,0,343192,700416
1785881754323,3641344,0,2940928,0,343192,700416
1785881755322,3641344,0,2940928,0,343192,700416
1785881756323,3641344,0,2940928,0,343192,700416
1785881757323,3641344,0,2940928,0,343192,700416
1785881758323,3641344,0,2940928,0,343192,700416
1785881759322,3641344,0,2940928,0,343192,700416
1785881760323,3641344,0,2940928,0,343192,700416
1785881761322,3641344,0,2940928,0,343192,700416
1785881762322,3641344,0,2940928,0,343192,700416
1785881763323,3641344,0,2940928,0,343192,700416
1785881764321,3641344,0,2940928,0,343192,700416
1785881765324,3641344,0,2940928,0,343192,700416
1785881766322,3641344,0,2940928,0,343192,700416
1785881767322,3641344,0,2940928,0,343192,700416
1785881768322,3641344,0,2940928,0,343192,700416
1785881769323,3641344,0,2940928,0,343192,700416
1785881770323,3641344,0,2940928,0,343192,700416
1785881771322,3641344,0,2940928,0,343192,700416
1785881772323,3641344,0,2940928,0,343192,700416
