unix_ms,memory_current,file,anon,sock,slab,kernel
1785882675272,68759552,0,66289664,0,1924656,2469888
1785882676275,68759552,0,66289664,0,1924656,2469888
1785882677275,68759552,0,66289664,0,1924656,2469888
1785882678274,68759552,0,66289664,0,1924656,2469888
1785882679274,68759552,0,66289664,0,1924656,2469888
1785882680274,68759552,0,66289664,0,1924656,2469888
1785882681274,68759552,0,66289664,0,1924656,2469888
1785882682276,68759552,0,66289664,0,1924656,2469888
1785882683274,68759552,0,66289664,0,1924656,2469888
1785882684275,68759552,0,66289664,0,1924656,2469888
1785882685273,68759552,0,66289664,0,1924656,2469888
1785882686275,68759552,0,66289664,0,1924656,2469888
1785882687275,68759552,0,66289664,0,1924656,2469888
1785882688274,68759552,0,66289664,0,1924656,2469888
1785882689275,68759552,0,66289664,0,1924656,2469888
1785882690274,68759552,0,66289664,0,1924656,2469888
1785882691274,68759552,0,66289664,0,1924656,2469888
1785882692274,68759552,0,66289664,0,1924656,2469888
1785882693274,68759552,0,66289664,0,1924656,2469888
1785882694275,68759552,0,66289664,0,1924656,2469888
1785882695274,68763648,0,66293760,0,1924656,2469888
1785882696277,68763648,0,66293760,0,1924656,2469888
1785882697277,68763648,0,66293760,0,1924656,2469888
1785882698275,68763648,0,66293760,0,1924656,2469888
1785882699275,68763648,0,66293760,0,1924656,2469888
1785882700275,68763648,0,66293760,0,1924656,2469888
1785882701275,68763648,0,66293760,0,1924656,2469888
1785882702275,68763648,0,66293760,0,1924656,2469888
1785882703274,68763648,0,66293760,0,1924656,2469888
1785882704274,68763648,0,66293760,0,1924656,2469888
1785882705274,68763648,0,66293760,0,1924656,2469888
1785882706275,68763648,0,66293760,0,1924656,2469888
1785882707274,68763648,0,66293760,0,1924656,2469888
1785882708274,68763648,0,66293760,0,1924656,2469888
1785882709275,68763648,0,66293760,0,1924656,2469888
1785882710274,68763648,0,66293760,0,1924656,2469888
1785882711274,68763648,0,66293760,0,1924656,2469888
1785882712275,68763648,0,66293760,0,1924656,2469888
1785882713274,68763648,0,66293760,0,1924656,2469888
1785882714274,68763648,0,66293760,0,1924656,2469888
1785882715274,68943872,0,66293760,0,1924656,2469888
1785882716274,68861952,0,66392064,0,1924656,2469888
1785882717274,68861952,0,66392064,0,1924656,2469888
1785882718274,68861952,0,66392064,0,1924656,2469888
1785882719275,68861952,0,66392064,0,1924656,2469888
1785882720274,68861952,0,66392064,0,1924656,2469888
1785882721275,68861952,0,66392064,0,1924656,2469888
1785882722274,68861952,0,66392064,0,1924656,2469888
1785882723275,68861952,0,66392064,0,1924656,2469888
1785882724274,68861952,0,66392064,0,1924656,2469888
1785882725274,68861952,0,66392064,0,1924656,2469888
1785882726275,68861952,0,66392064,0,1924656,2469888
1785882727275,68861952,0,66392064,0,1924656,2469888
1785882728275,68861952,0,66392064,0,1924656,2469888
1785882729274,68861952,0,66392064,0,1924656,2469888
1785882730275,68861952,0,66392064,0,1924656,2469888
1785882731275,68861952,0,66392064,0,1924656,2469888
1785882732274,68861952,0,66392064,0,1924656,2469888
1785882733274,68861952,0,66392064,0,1924656,2469888
1785882734274,68861952,0,66392064,0,1924656,2469888
