unix_ms,memory_current,file,anon,sock,slab,kernel
1785861531696,3739648,0,2985984,0,357816,753664
1785861532699,3739648,0,2985984,0,357816,753664
1785861533699,3739648,0,2985984,0,357816,753664
1785861534700,3739648,0,2985984,0,357816,753664
1785861535699,3739648,0,2985984,0,357816,753664
1785861536699,3739648,0,2985984,0,357816,753664
1785861537698,3739648,0,2985984,0,357816,753664
1785861538700,3739648,0,2985984,0,357816,753664
1785861539699,3739648,0,2985984,0,357816,753664
1785861540699,3739648,0,2985984,0,357816,753664
