unix_ms,memory_current,file,anon,sock,slab,kernel
1785862798655,3678208,0,2916352,0,357272,761856
1785862799657,3678208,0,2916352,0,357272,761856
1785862800658,3678208,0,2916352,0,357272,761856
1785862801658,3678208,0,2916352,0,357272,761856
1785862802658,3678208,0,2916352,0,357272,761856
1785862803658,3678208,0,2916352,0,357272,761856
1785862804657,3678208,0,2916352,0,357272,761856
1785862805657,3678208,0,2916352,0,357272,761856
1785862806658,3678208,0,2916352,0,357272,761856
1785862807657,3678208,0,2916352,0,357272,761856
