unix_ms,memory_current,file,anon,sock,slab,kernel
1785908633384,3887104,0,3178496,0,342480,708608
1785908634387,3887104,0,3178496,0,342480,708608
1785908635386,3887104,0,3178496,0,342480,708608
1785908636386,3887104,0,3178496,0,342480,708608
1785908637386,3887104,0,3178496,0,342480,708608
1785908638386,3887104,0,3178496,0,342480,708608
1785908639387,3887104,0,3178496,0,342480,708608
1785908640386,3887104,0,3178496,0,342480,708608
1785908641386,3887104,0,3178496,0,342480,708608
1785908642386,3887104,0,3178496,0,342480,708608
1785908643386,3899392,0,3190784,0,342480,708608
1785908644387,3899392,0,3190784,0,342480,708608
1785908645385,3899392,0,3190784,0,342480,708608
1785908646386,3899392,0,3190784,0,342480,708608
1785908647386,3899392,0,3190784,0,342480,708608
1785908648386,3899392,0,3190784,0,342480,708608
1785908649387,3899392,0,3190784,0,342480,708608
1785908650387,3899392,0,3190784,0,342480,708608
1785908651387,3899392,0,3190784,0,342480,708608
1785908652386,3899392,0,3190784,0,342480,708608
1785908653386,3899392,0,3190784,0,342480,708608
1785908654386,3899392,0,3190784,0,342480,708608
1785908655386,3899392,0,3190784,0,342480,708608
1785908656387,3899392,0,3190784,0,342480,708608
1785908657386,3899392,0,3190784,0,342480,708608
1785908658386,3899392,0,3190784,0,342480,708608
1785908659387,3899392,0,3190784,0,342480,708608
1785908660386,3899392,0,3190784,0,342480,708608
1785908661386,3899392,0,3190784,0,342480,708608
1785908662387,3899392,0,3190784,0,342480,708608
1785908663386,3899392,0,3190784,0,342480,708608
1785908664387,3899392,0,3190784,0,342480,708608
1785908665386,3899392,0,3190784,0,342480,708608
1785908666386,3899392,0,3190784,0,342480,708608
1785908667386,3899392,0,3190784,0,342480,708608
1785908668386,3899392,0,3190784,0,342480,708608
1785908669388,3899392,0,3190784,0,342480,708608
1785908670386,3899392,0,3190784,0,342480,708608
1785908671386,3899392,0,3190784,0,342480,708608
1785908672385,3899392,0,3190784,0,342480,708608
1785908673386,3899392,0,3190784,0,342480,708608
1785908674387,3899392,0,3190784,0,342480,708608
1785908675386,3899392,0,3190784,0,342480,708608
1785908676385,3899392,0,3190784,0,342480,708608
1785908677386,3899392,0,3190784,0,342480,708608
1785908678387,3899392,0,3190784,0,342480,708608
1785908679386,3899392,0,3190784,0,342480,708608
1785908680387,3899392,0,3190784,0,342480,708608
1785908681386,3899392,0,3190784,0,342480,708608
1785908682386,3899392,0,3190784,0,342480,708608
1785908683386,3899392,0,3190784,0,342480,708608
1785908684386,3899392,0,3190784,0,342480,708608
1785908685386,3899392,0,3190784,0,342480,708608
1785908686386,3899392,0,3190784,0,342480,708608
1785908687387,3899392,0,3190784,0,342480,708608
1785908688386,3899392,0,3190784,0,342480,708608
1785908689386,3899392,0,3190784,0,342480,708608
1785908690386,3899392,0,3190784,0,342480,708608
1785908691387,3899392,0,3190784,0,342480,708608
1785908692385,3899392,0,3190784,0,342480,708608
