unix_ms,memory_current,file,anon,sock,slab,kernel
1785908950418,48148480,0,45666304,0,1925376,2445312
1785908951421,48111616,0,45666304,0,1925376,2445312
1785908952421,48111616,0,45666304,0,1925376,2445312
1785908953421,48111616,0,45666304,0,1925464,2445312
1785908954421,48111616,0,45666304,0,1925464,2445312
1785908955422,48111616,0,45666304,0,1925464,2445312
1785908956421,48111616,0,45666304,0,1925464,2445312
1785908957422,48111616,0,45666304,0,1925464,2445312
1785908958421,48111616,0,45666304,0,1925464,2445312
1785908959422,48111616,0,45666304,0,1925464,2445312
1785908960421,48111616,0,45666304,0,1925464,2445312
1785908961421,48111616,0,45666304,0,1925464,2445312
1785908962421,48111616,0,45666304,0,1925464,2445312
1785908963422,48111616,0,45666304,0,1925464,2445312
1785908964421,48111616,0,45666304,0,1925464,2445312
1785908965421,48111616,0,45666304,0,1925464,2445312
1785908966421,48111616,0,45666304,0,1925464,2445312
1785908967421,48111616,0,45666304,0,1925464,2445312
1785908968422,48111616,0,45666304,0,1925464,2445312
1785908969421,48111616,0,45666304,0,1925464,2445312
1785908970421,48807936,0,46354432,0,1925464,2441216
1785908971421,48795648,0,46354432,0,1925464,2441216
1785908972421,48795648,0,46354432,0,1925464,2441216
1785908973421,48795648,0,46354432,0,1925464,2441216
1785908974421,48795648,0,46354432,0,1925464,2441216
1785908975421,48795648,0,46354432,0,1925464,2441216
1785908976422,48795648,0,46354432,0,1925464,2441216
1785908977421,48795648,0,46354432,0,1925464,2441216
1785908978421,48795648,0,46354432,0,1925464,2441216
1785908979421,48795648,0,46354432,0,1925464,2441216
1785908980421,48795648,0,46354432,0,1925464,2441216
1785908981421,48795648,0,46354432,0,1925464,2441216
1785908982421,48795648,0,46354432,0,1925464,2441216
1785908983421,48795648,0,46354432,0,1925464,2441216
1785908984421,48795648,0,46354432,0,1925464,2441216
1785908985422,48795648,0,46354432,0,1925464,2441216
1785908986421,48795648,0,46354432,0,1925464,2441216
1785908987422,48795648,0,46354432,0,1925464,2441216
1785908988421,48795648,0,46354432,0,1925464,2441216
1785908989422,48795648,0,46354432,0,1925464,2441216
1785908990421,48816128,0,46354432,0,1925464,2441216
1785908991421,48799744,0,46354432,0,1925464,2441216
1785908992422,48799744,0,46358528,0,1925464,2441216
1785908993421,48799744,0,46358528,0,1925464,2441216
1785908994421,48799744,0,46358528,0,1925464,2441216
1785908995421,48799744,0,46358528,0,1925464,2441216
1785908996421,48799744,0,46358528,0,1925464,2441216
1785908997421,48799744,0,46358528,0,1925464,2441216
1785908998421,48799744,0,46358528,0,1925464,2441216
1785908999421,48799744,0,46358528,0,1925464,2441216
1785909000421,48799744,0,46358528,0,1925464,2441216
1785909001421,48799744,0,46358528,0,1925464,2441216
1785909002421,48799744,0,46358528,0,1925464,2441216
1785909003421,48799744,0,46358528,0,1925464,2441216
1785909004421,48799744,0,46358528,0,1925464,2441216
1785909005421,48799744,0,46358528,0,1925464,2441216
1785909006421,48799744,0,46358528,0,1925464,2441216
1785909007422,48799744,0,46358528,0,1925464,2441216
1785909008421,48799744,0,46358528,0,1925464,2441216
1785909009421,48799744,0,46358528,0,1925464,2441216
